X,Y,City,State
-112.9666669,52.766667,Ferintosh,Alberta
-114.155483,54.689162,Flatbush,Alberta
-111.589022,53.889629,Foisy,Alberta
-111.4455144,49.4770469,Foremost,Alberta
-112.0666669,52.583333,Forestburg,Alberta
-114.769976,54.333998,Fort Assiniboine,Alberta
-111.140697,58.719637,Fort Chipewyan,Alberta
-110.605221,54.311612,Fort Kent,Alberta
-113.4053474,49.7257568,Fort Macleod,Alberta
-111.388522,56.7291997,Fort McMurray,Alberta
-113.2141109,53.712965,Fort Saskatchewan,Alberta
-116.019701,58.387333,Fort Vermilion,Alberta
-116.8172401,54.4009872,Fox Creek,Alberta
-114.536086,58.464935,Fox Lake,Alberta
-112.3499999,52.3,Gadsby,Alberta
-114.7585303,51.2079819,Ghost Lake,Alberta
-113.3226652,53.8274934,Gibbons,Alberta
-117.3367286,55.7544638,Girouxville,Alberta
-113.051568,50.866153,Gleichen,Alberta
-111.1513889,54.251111,Glendon,Alberta
-113.5166669,49.366667,Glenwood,Alberta
-114.0667805,53.0600116,Golden Days,Alberta
-119.1185657,53.8888135,Grande Cache,Alberta
-118.7951659,55.171025,Grande Prairie,Alberta
-114.0581429,52.99198,Grandview,Alberta
-113.514432,49.870771,Granum,Alberta
-117.6082751,56.1879236,Grimshaw,Alberta
-116.159278,55.523223,Grouard,Alberta
-118.864914,55.025143,Grovedale,Alberta
-113.948907,52.4589197,Gull Lake,Alberta
-114.348581,53.731147,Gunn,Alberta
-112.1499999,52.283333,Halkirk,Alberta
-111.9269666,51.6428682,Hanna,Alberta
-111.3093793,52.6696007,Hardisty,Alberta
-113.0586607,53.1966123,Hay Lakes,Alberta
-111.8001,50.0944,Hays,Alberta
-112.2249123,52.6712057,Heisler,Alberta
-117.1333329,58.516667,High Level,Alberta
-116.4836197,55.4325044,High Prairie,Alberta
-113.8569212,50.5797079,High River,Alberta
-113.6277359,49.294435,Hill Spring,Alberta
-118.5985032,56.2479207,Hines Creek,Alberta
-117.5702189,53.4046768,Hinton,Alberta
-112.2333329,53.233333,Holden,Alberta
-111.3705057,54.12213825,Horseshoe Bay,Alberta
-110.9632551,52.510771,Hughenden,Alberta
-112.6817173,51.0408033,Hussar,Alberta
-119.5578675,55.3300526,Hythe,Alberta
-113.94943,52.0200845,Innisfail,Alberta
-111.5336298,53.3807012,Innisfree,Alberta
-111.2323197,52.917029,Irma,Alberta
-113.6083499,51.3164605,Irricana,Alberta
-110.267986,49.954314,Irvine,Alberta
